,feature,coef
189,blurb__20th,0.558967336105635
190,blurb__21,-0.22414664911841797
191,blurb__21st,0.03196803362866133
192,blurb__22,-0.08277108767376083
193,blurb__23,0.5014454394392256
194,blurb__24,0.13611592482059157
195,blurb__25,-0.03078822316097237
196,blurb__250,-0.20103665761645645
197,blurb__26,-0.07391479672059756
198,blurb__27,0.06569040975743567
199,blurb__28,0.2295557128857748
200,blurb__28mm,0.32183786845564333
201,blurb__2d,-0.4498627139984248
202,blurb__2nd,0.6020395351780019
203,blurb__30,0.23875495208398012
204,blurb__300,-0.17167146405969144
205,blurb__31,-0.12217866659644948
206,blurb__32,-0.031326469716283174
207,blurb__32mm,0.07995647044134384
208,blurb__35,0.39394928962689885
209,blurb__35mm,0.8114469836253226
210,blurb__36,0.1358560250938582
211,blurb__360,0.44624778257513154
212,blurb__365,0.21015228779478426
213,blurb__3d,-0.22973568453773136
214,blurb__3rd,0.45603932416876436
215,blurb__40,0.5796694795684626
216,blurb__400,0.8181749967860531
217,blurb__44,0.17025956090866434
218,blurb__45,0.22449665033577432
219,blurb__48,0.5111752404095931
220,blurb__4k,0.7370723495331586
221,blurb__4th,0.44139006952014603
222,blurb__50,0.30630259333313253
223,blurb__500,0.5919663611138379
224,blurb__52,0.0582006950879195
225,blurb__54,0.11068849219960429
226,blurb__56,0.6692353550663258
227,blurb__5e,0.5544186449714723
228,blurb__5th,0.7975928554828934
229,blurb__60,-0.033915675611578495
230,blurb__600,0.22429969644302894
231,blurb__64,0.3505321733874293
232,blurb__6th,0.5123256217567081
233,blurb__70,0.21658138414423975
234,blurb__70s,-0.00293149119257854
235,blurb__72,0.21405750157922726
236,blurb__75,0.0636563380947968
237,blurb__75mm,0.4997763379174704
238,blurb__78,0.7700398493492061
239,blurb__7th,0.39148002060753095
240,blurb__80,0.5832390411631707
241,blurb__80s,0.371473294631558
242,blurb__8th,1.154675954949938
243,blurb__90,0.12179058709035269
244,blurb__90s,1.082553401434644
245,blurb__99,0.6252862497585885
246,blurb__aaron,0.46366680193388027
247,blurb__abandoned,0.15832839292504414
248,blurb__abilities,-0.5121478553960803
249,blurb__ability,-0.6232719763054988
250,blurb__able,-1.1939751976348107
251,blurb__absolutely,0.06962835467173682
252,blurb__abstract,-0.27705642569413597
253,blurb__absurd,0.8800587775585224
254,blurb__abuse,-1.259845631308473
255,blurb__academy,-0.14399445539860814
256,blurb__accept,0.29208351328779264
257,blurb__acceptance,0.7677230190115542
258,blurb__accepted,-0.48311784531055463
259,blurb__access,0.44197038476183764
260,blurb__accessible,0.8148302234458967
261,blurb__accessories,0.06907542302517149
262,blurb__accessory,-0.3552532323144121
263,blurb__accident,-0.09248025049505873
264,blurb__accidentally,0.8393982653395262
265,blurb__acclaimed,1.460944158024653
266,blurb__accompanied,-0.525405892232538
267,blurb__accompanying,-0.14461912343445668
268,blurb__account,-0.3999780405939763
269,blurb__accurate,0.3605280612081418
270,blurb__ace,-0.2701965150280636
271,blurb__achieve,-0.25119642844020607
272,blurb__acoustic,-0.6037648542306229
273,blurb__acrylic,-0.28123928435370393
274,blurb__act,0.09158195321218224
275,blurb__acting,-0.2028118279990159
276,blurb__action,-0.0671983915480436
277,blurb__actions,0.08560108477588901
278,blurb__active,0.033439877519894114
279,blurb__activist,0.8807805386146089
280,blurb__activities,-0.261846622647719
281,blurb__activity,-0.07852755026519427
282,blurb__actor,0.04493120958820064
283,blurb__actors,-0.13366360627362725
284,blurb__actress,0.5204927955490852
