,timestamp,open,high,low,close,fx_daily_mean
232,2024-12-31,1.04054,1.04244,1.03438,1.03522,1.03815
233,2024-12-30,1.04275,1.04584,1.03714,1.04068,1.0416
234,2024-12-27,1.04184,1.04441,1.04047,1.04239,1.04228
235,2024-12-26,1.0403,1.04301,1.03901,1.0422,1.04113
236,2024-12-25,1.0395,1.0412,1.0395,1.0401,1.04008
237,2024-12-24,1.04043,1.04099,1.03832,1.0401,1.03996
238,2024-12-23,1.04304,1.04452,1.03838,1.04048,1.04161
239,2024-12-20,1.03616,1.04475,1.03426,1.04244,1.0394
240,2024-12-19,1.03513,1.04224,1.03457,1.03605,1.037
241,2024-12-18,1.04904,1.05127,1.03436,1.03507,1.04244
242,2024-12-17,1.05099,1.05341,1.04788,1.04903,1.05033
243,2024-12-16,1.04865,1.05248,1.04742,1.05121,1.04994
244,2024-12-13,1.04655,1.05242,1.04527,1.05017,1.0486
245,2024-12-12,1.04935,1.05309,1.04634,1.0469,1.04892
246,2024-12-11,1.05259,1.05394,1.04797,1.04933,1.05096
247,2024-12-10,1.05519,1.05681,1.0498,1.05268,1.05362
248,2024-12-09,1.05574,1.05945,1.05317,1.05531,1.05592
249,2024-12-06,1.05839,1.06298,1.05419,1.05673,1.05807
250,2024-12-05,1.05071,1.05896,1.05054,1.0584,1.05465
251,2024-12-04,1.05065,1.05441,1.04718,1.05114,1.05084
252,2024-12-03,1.0497,1.05351,1.04806,1.05073,1.0505
253,2024-12-02,1.05695,1.05742,1.04603,1.04966,1.05252
254,2024-11-29,1.05511,1.05971,1.05411,1.05748,1.0566
255,2024-11-28,1.05652,1.057,1.05271,1.05489,1.05528
256,2024-11-27,1.04868,1.05878,1.0474,1.0566,1.05287
257,2024-11-26,1.04929,1.05448,1.04246,1.04879,1.04875
258,2024-11-25,1.04829,1.05303,1.04486,1.04942,1.0489
259,2024-11-22,1.04734,1.04981,1.03325,1.04193,1.04308
260,2024-11-21,1.05427,1.0555,1.04618,1.04738,1.05083
261,2024-11-20,1.05931,1.061,1.05065,1.05432,1.05632
262,2024-11-19,1.05979,1.0601,1.05229,1.05937,1.05789
263,2024-11-18,1.05294,1.06072,1.0528,1.05979,1.05656
264,2024-11-15,1.0529,1.0593,1.05159,1.05394,1.05443
265,2024-11-14,1.05627,1.05825,1.04958,1.0529,1.05425
266,2024-11-13,1.06202,1.0654,1.05555,1.05622,1.0598
267,2024-11-12,1.06534,1.06631,1.05946,1.06216,1.06332
268,2024-11-11,1.0707,1.0728,1.06283,1.06533,1.06792
